name,product,ISIC rev.4 ecoinvent,CPC
"transport, freight, sea, container ship, powered with methanol","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with synthetic diesel","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with synthetic liquefied petroleum gas","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with synthetic methane","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, train, diesel","transport, freight, train, fleet average",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight, train, diesel, with particle filter","transport, freight, train, fleet average",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight, train, electric","transport, freight, train, fleet average",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight, train, unspecified","transport, freight, train",4912:Freight rail transport,6512: Railway transport services of freight
"transport, Kick Scooter, battery electric, <1kW","transport, Kick Scooter, battery electric, <1kW",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, liquefied natural gas DZ, freight ship","transport, liquefied natural gas DZ, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, liquefied natural gas NG, freight ship","transport, liquefied natural gas NG, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, liquefied natural gas NO, freight ship","transport, liquefied natural gas NO, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, liquefied natural gas QA, freight ship","transport, liquefied natural gas QA, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, liquefied natural gas RU, freight ship","transport, liquefied natural gas RU, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, liquefied natural gas US, freight ship","transport, liquefied natural gas US, freight ship",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, Moped, gasoline, <4kW, EURO-3","transport, Moped, gasoline, <4kW, EURO-3",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Moped, gasoline, <4kW, EURO-4","transport, Moped, gasoline, <4kW, EURO-4",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Moped, gasoline, <4kW, EURO-5","transport, Moped, gasoline, <4kW, EURO-5",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, battery electric, <4kW","transport, Motorbike, battery electric, <4kW",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, battery electric, >35kW","transport, Motorbike, battery electric, >35kW",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, battery electric, 11-35kW","transport, Motorbike, battery electric, 11-35kW",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, battery electric, 4-11kW","transport, Motorbike, battery electric, 4-11kW",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, >35kW, EURO-3","transport, Motorbike, gasoline, >35kW, EURO-3",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, >35kW, EURO-4","transport, Motorbike, gasoline, >35kW, EURO-4",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, >35kW, EURO-5","transport, Motorbike, gasoline, >35kW, EURO-5",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 11-35kW, EURO-3","transport, Motorbike, gasoline, 11-35kW, EURO-3",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 11-35kW, EURO-4","transport, Motorbike, gasoline, 11-35kW, EURO-4",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 11-35kW, EURO-5","transport, Motorbike, gasoline, 11-35kW, EURO-5",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 4-11kW, EURO-3","transport, Motorbike, gasoline, 4-11kW, EURO-3",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 4-11kW, EURO-4","transport, Motorbike, gasoline, 4-11kW, EURO-4",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Motorbike, gasoline, 4-11kW, EURO-5","transport, Motorbike, gasoline, 4-11kW, EURO-5",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, motorbike, unspecified","transport, motorbike",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, natural gas, offshore pipeline, long distance","transport, natural gas, offshore pipeline, long distance",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, natural gas, onshore pipeline, long distance","transport, natural gas, onshore pipeline, long distance",1920:Manufacture of refined petroleum products,33360: Gas oil
"transport, passenger bus, battery electric - battery-equipped trolleybus, LTO battery, 13m single deck urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - battery-equipped trolleybus, LTO battery, 18m articulated urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - opportunity charging, LTO battery, 13m double deck urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - opportunity charging, LTO battery, 13m single deck urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - opportunity charging, LTO battery, 18m articulated urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - opportunity charging, LTO battery, 9m midibus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"transport, passenger bus, battery electric - overnight charging, 13m double deck urban bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
